node_id	longitude	latitude
u155m7b9n6k1	4.450423	51.217072
u155m7bbtvu0	4.450745	51.217005
u155m7c38004	4.451180	51.217146
u155m7ccpyh1	4.452204	51.217093
u155m7f0t1kh	4.452429	51.216982
u155m7f934ry	4.452950	51.217116
u155m7fbrnuh	4.453545	51.216968
u1557ezgpyef	4.383540	51.217439
u1557gzf2p2h	4.394188	51.217314
u1557gzfscrb	4.394403	51.217324
u155k5b1zcrz	4.394875	51.217197
u155k5c55r5y	4.396049	51.217442
u155k5c681rb	4.396259	51.217324
u155k5f75k8n	4.397761	51.217429
u155k5fd9rs1	4.398023	51.217358
u155k5fcg48p	4.398437	51.217203
u155k5u6vsec	4.400609	51.217385
u155k5y74bzv	4.403243	51.217408
u155k5ydbt5v	4.403484	51.217388
u155k5yghuxy	4.404016	51.217429
u155k5z6e6xb	4.404638	51.217331
u155k5z6thru	4.404713	51.217341
u155k5zfjd5z	4.405416	51.217244
u155k130nmez	4.396178	51.203186
u155k7f6hmbp	4.408790	51.217264
u155k7fdhneg	4.409128	51.217267
u155k7u5j6gc	4.411241	51.217418
u155khf88n2n	4.397964	51.222502
u155k7yg0181	4.414787	51.217412
u155k7yghs04	4.414980	51.217425
u155keb1bc2p	4.416536	51.217197
u155kebf1x7b	4.417604	51.217271
u155kecgq104	4.419165	51.217452
u155kef70tun	4.419621	51.217435
u155kef7r9xy	4.419926	51.217455
u155kef9vt5z	4.420179	51.217217
u155kegf7kzu	4.421804	51.217301
u155keu1cxez	4.422067	51.217230
u155keu6re00	4.422662	51.217291
u155keuds2pb	4.422877	51.217318
u155keufz0pv	4.423338	51.217361
u155kev4js8p	4.423606	51.217257
u155k9mm6czu	4.423842	51.204067
u155kgbe0u04	4.428209	51.217425
u155kgbfbr01	4.428531	51.217398
u155kgc44f0p	4.428982	51.217244
u155kgc3bus5	4.429244	51.217214
u155k2t7utb5	4.412920	51.199711
u155jp9qzp5c	4.440499	51.194739
u155k2tsuzpc	4.413285	51.199889
u155hpvdxp7g	4.402390	51.195384
u155kgydqf2h	4.436706	51.217287
u155kgz1bdez	4.437130	51.217203
u155kfpp370j	4.437157	51.208537
u155kgzf3srb	4.438208	51.217298
u155m5ce0du1	4.440563	51.217418
u155m5g3c7gz	4.442999	51.217210
u155m5v4epec	4.445477	51.217358
u155m5v6eb5b	4.445853	51.217318
u155m5ve33h4	4.446089	51.217452
u155m5vgjpb4	4.446588	51.217445
u155m5y3bvu5	4.447097	51.217220
u155m5yds8sh	4.447601	51.217321
u155m5z69rs1	4.448492	51.217358
u155m5zcf7gz	4.449221	51.217210
u155m7b4w5hh	4.449726	51.217334
u155m7b6xngv	4.450112	51.217355
u155m7bd9vev	4.450230	51.217348
u155m7c1cvzg	4.450922	51.217220
u155m7cdz8zc	4.451855	51.217365
u155m7ccggup	4.452032	51.217210
u155m7f3ffxz	4.452682	51.217203
u155m7g51n84	4.453626	51.217439
u1557eyu4e2h	4.381936	51.217593
u1557gbh4kpb	4.383652	51.217597
u1557gbgwfkp	4.384870	51.217502
u1557gcs2shh	4.385632	51.217640
u155khtg07gy	4.402444	51.221545
u155khtgdc05	4.402546	51.221615
u155kmqt3epv	4.414519	51.226046
u155kmqve5k1	4.414921	51.226090
u155khwe4g7f	4.403581	51.221541
u155k5bhduk1	4.394655	51.217684
u155k5bhruzb	4.394875	51.217644
u155k5bkpfpu	4.395218	51.217586
u155k5bgrugf	4.395899	51.217472
u155khwdzwrf	4.403790	51.221514
u155k5fkpk5b	4.397938	51.217597
u155k5fsjt7b	4.398206	51.217603
u155khx5kg7z	4.404353	51.221585
u155k5uhr7xb	4.400346	51.217637
u155k5usz0sj	4.401017	51.217707
u155khx7p68n	4.404799	51.221538
u155k5vexp7z	4.402390	51.217529
u155k5vgd1gg	4.402519	51.217499
u155k5ygzwgz	4.404128	51.217570
u155k5z5ffs5	4.404268	51.217546
