node_id	longitude	latitude	time	median	mean	max	min
u1557cebw8xu	4.388984	51.204618	2019-04-01 12:00:00+00:00	41.14	41.14	41.14	41.14
u1557cebw8xu	4.388984	51.204618	2019-04-03 08:30:00+00:00	37.72	37.72	38.06	37.37
u1557cebw8xu	4.388984	51.204618	2019-04-03 11:30:00+00:00	27.61	27.61	28.61	26.62
u1557cebw8xu	4.388984	51.204618	2019-04-05 07:00:00+00:00	35.59	35.61	36.08	35.19
u1557cebw8xu	4.388984	51.204618	2019-04-08 07:00:00+00:00	58.20	58.20	61.70	54.70
u1557cebw8xu	4.388984	51.204618	2019-04-08 07:30:00+00:00	68.73	65.80	69.38	59.28
u1557cebw8xu	4.388984	51.204618	2019-04-09 07:30:00+00:00	36.50	36.50	36.50	36.50
u1557ckp9b8n	4.389113	51.204447	2019-04-01 12:00:00+00:00	68.33	68.33	68.33	68.33
u1557ckp9b8n	4.389113	51.204447	2019-04-02 07:30:00+00:00	33.74	33.94	34.65	33.53
u1557ckp9b8n	4.389113	51.204447	2019-04-04 07:30:00+00:00	28.84	28.86	29.14	28.61
u1557ckp9b8n	4.389113	51.204447	2019-04-08 07:30:00+00:00	58.05	58.77	65.70	54.30
u1557ckp9b8n	4.389113	51.204447	2019-04-09 07:30:00+00:00	44.16	44.83	50.23	39.22
u1557ckntjgb	4.389258	51.204302	2019-04-02 07:30:00+00:00	31.05	31.56	33.49	30.01
u1557ckntjgb	4.389258	51.204302	2019-04-02 08:00:00+00:00	31.32	31.32	31.57	31.06
u1557ckntjgb	4.389258	51.204302	2019-04-03 08:30:00+00:00	35.67	35.67	35.86	35.48
u1557ckntjgb	4.389258	51.204302	2019-04-04 07:30:00+00:00	27.75	27.81	28.49	27.30
u1557ckntjgb	4.389258	51.204302	2019-04-09 07:30:00+00:00	64.15	64.15	64.15	64.15
u1557ctgk7kp	4.391629	51.205105	2019-04-02 08:00:00+00:00	32.67	32.59	33.56	31.68
u1557ctgk7kp	4.391629	51.205105	2019-04-03 08:30:00+00:00	33.89	34.12	35.16	33.66
u1557ctgk7kp	4.391629	51.205105	2019-04-04 07:30:00+00:00	26.40	26.54	27.07	26.29
u1557ctgk7kp	4.391629	51.205105	2019-04-05 07:00:00+00:00	36.70	36.68	37.03	36.16
u1557ctgk7kp	4.391629	51.205105	2019-04-08 07:30:00+00:00	70.52	70.52	70.52	70.52
u1557ctgk7kp	4.391629	51.205105	2019-04-09 07:30:00+00:00	66.84	66.54	69.99	62.48
u1557cwhrmk4	4.392101	51.205287	2019-04-04 07:30:00+00:00	25.94	25.94	26.42	25.45
u1557cwhrmk4	4.392101	51.205287	2019-04-08 07:30:00+00:00	70.21	70.21	70.21	70.21
u1557cwhrmk4	4.392101	51.205287	2019-04-09 07:30:00+00:00	65.06	65.06	65.06	65.06
u1557cwhrmk4	4.392101	51.205287	2019-04-09 11:30:00+00:00	59.60	59.60	59.60	59.60
u1557cwkdw8p	4.392235	51.205337	2019-04-03 12:00:00+00:00	30.91	30.91	30.91	30.91
u1557cwkdw8p	4.392235	51.205337	2019-04-09 12:00:00+00:00	56.09	46.91	58.17	26.49
u1557cy903py	4.392493	51.206080	2019-04-05 09:30:00+00:00	41.53	41.53	41.53	41.53
u1557cwr5n21	4.392257	51.205764	2019-04-03 08:00:00+00:00	38.96	38.96	39.21	38.71
u1557cz1m3zy	4.393394	51.206127	2019-04-04 07:30:00+00:00	31.11	31.11	31.11	31.11
u1557cz1m3zy	4.393394	51.206127	2019-04-09 09:00:00+00:00	33.65	33.65	33.65	33.65
u1557cz15ygf	4.393324	51.206110	2019-04-02 07:30:00+00:00	33.47	33.47	33.47	33.47
u1557cz15ygf	4.393324	51.206110	2019-04-05 09:30:00+00:00	37.85	37.85	37.85	37.85
u1557cz15ygf	4.393324	51.206110	2019-04-09 07:30:00+00:00	45.93	45.93	45.93	45.93
u1557cwxgv7z	4.392638	51.205889	2019-04-02 08:30:00+00:00	27.78	27.78	27.78	27.78
u1557cwxgv7z	4.392638	51.205889	2019-04-03 11:30:00+00:00	33.62	33.62	38.66	28.57
u1557cwxgv7z	4.392638	51.205889	2019-04-05 09:30:00+00:00	34.68	34.68	34.68	34.68
u1557cwxgv7z	4.392638	51.205889	2019-04-08 09:30:00+00:00	55.65	55.65	55.65	55.65
u1557bvgf6bp	4.391538	51.201069	2019-04-03 12:00:00+00:00	36.97	36.97	46.84	27.10
u1557bvgf6bp	4.391538	51.201069	2019-04-09 11:30:00+00:00	47.15	49.68	55.37	46.52
u1557cxr7ph4	4.393635	51.205811	2019-04-04 08:00:00+00:00	25.34	25.38	26.07	24.59
u1557cxr7ph4	4.393635	51.205811	2019-04-08 07:30:00+00:00	68.52	65.86	70.45	60.28
u1557cxrz425	4.393802	51.205872	2019-04-08 07:00:00+00:00	65.36	66.70	73.86	62.20
u1557cxrz425	4.393802	51.205872	2019-04-09 07:30:00+00:00	76.64	76.82	78.14	75.84
u155k1b1yx7b	4.394816	51.206241	2019-04-02 08:00:00+00:00	32.45	32.45	32.47	32.43
u155k1b1yx7b	4.394816	51.206241	2019-04-02 08:30:00+00:00	27.41	27.41	27.41	27.41
u155k1b1yx7b	4.394816	51.206241	2019-04-03 08:30:00+00:00	33.34	33.34	33.57	33.11
u155k1b1yx7b	4.394816	51.206241	2019-04-04 08:00:00+00:00	25.38	25.38	25.39	25.37
u155k1b1yx7b	4.394816	51.206241	2019-04-05 07:00:00+00:00	36.76	36.76	36.76	36.76
u155k1b1yx7b	4.394816	51.206241	2019-04-08 07:30:00+00:00	63.93	64.89	67.96	62.76
u155k1b1yx7b	4.394816	51.206241	2019-04-09 07:30:00+00:00	76.21	76.21	76.21	76.21
u1557cwn3zez	4.391865	51.205643	2019-04-02 07:30:00+00:00	31.46	31.46	31.46	31.46
u1557cwn3zez	4.391865	51.205643	2019-04-03 08:00:00+00:00	38.44	38.44	38.44	38.44
u1557cwn3zez	4.391865	51.205643	2019-04-09 11:30:00+00:00	57.72	57.72	57.72	57.72
u1557ctyrn7z	4.391747	51.205636	2019-04-02 07:30:00+00:00	32.42	32.44	32.85	32.20
u1557cwk94un	4.392176	51.205317	2019-04-01 12:00:00+00:00	63.90	63.90	63.90	63.90
u1557cq55ms5	4.391930	51.203701	2019-04-01 12:00:00+00:00	54.73	54.73	54.73	54.73
u1557cjyn7gy	4.391715	51.202833	2019-04-03 12:00:00+00:00	25.20	25.20	25.20	25.20
u1557cjcf8pz	4.391559	51.202084	2019-04-01 12:00:00+00:00	49.23	49.23	49.23	49.23
u1557chkxpry	4.389693	51.202595	2019-04-02 07:30:00+00:00	29.64	29.64	29.64	29.64
u1557chkxpry	4.389693	51.202595	2019-04-05 07:00:00+00:00	35.86	35.86	35.86	35.85
u1557chjqr7b	4.389312	51.202722	2019-04-09 07:30:00+00:00	60.67	60.67	60.67	60.67
u1557bvzse7c	4.391640	51.201714	2019-04-03 12:00:00+00:00	44.26	44.26	44.26	44.26
u155k1b58vzb	4.394574	51.206534	2019-04-02 07:30:00+00:00	33.64	33.72	34.14	33.40
u155k1b58vzb	4.394574	51.206534	2019-04-04 07:00:00+00:00	32.06	32.06	32.06	32.06
u155k1b58vzb	4.394574	51.206534	2019-04-04 07:30:00+00:00	31.70	31.66	31.86	31.37
u155k1b58vzb	4.394574	51.206534	2019-04-05 07:00:00+00:00	36.00	36.08	36.37	35.86
u155k1b58vzb	4.394574	51.206534	2019-04-09 07:30:00+00:00	40.71	40.71	41.34	40.09
u1557cwtef7c	4.392638	51.205485	2019-04-02 08:00:00+00:00	32.12	32.04	32.17	31.77
u1557cwtef7c	4.392638	51.205485	2019-04-03 08:30:00+00:00	33.11	33.02	34.10	32.17
u1557cwtef7c	4.392638	51.205485	2019-04-04 08:00:00+00:00	25.58	25.58	26.10	25.05
u155k1b5zbrb	4.394875	51.206547	2019-04-03 07:30:00+00:00	39.78	39.78	39.78	39.78
u155k1b5zbrb	4.394875	51.206547	2019-04-05 07:00:00+00:00	36.28	36.28	36.28	36.28
u1557cz37nrg	4.393641	51.206151	2019-04-01 09:30:00+00:00	24.34	26.14	32.86	23.02
u1557cz37nrg	4.393641	51.206151	2019-04-03 07:30:00+00:00	39.78	39.90	40.91	39.46
u1557cz37nrg	4.393641	51.206151	2019-04-03 09:30:00+00:00	28.04	28.72	32.56	25.76
u1557cz37nrg	4.393641	51.206151	2019-04-04 07:30:00+00:00	31.65	31.65	31.94	31.35
u1557cz37nrg	4.393641	51.206151	2019-04-05 07:00:00+00:00	36.61	36.65	37.28	36.12
u1557cz37nrg	4.393641	51.206151	2019-04-05 09:30:00+00:00	36.68	36.35	37.19	34.82
u1557cz37nrg	4.393641	51.206151	2019-04-08 07:00:00+00:00	63.96	64.73	70.80	59.10
u1557cz37nrg	4.393641	51.206151	2019-04-08 09:30:00+00:00	48.69	49.73	54.74	47.21
u1557cz37nrg	4.393641	51.206151	2019-04-09 07:30:00+00:00	43.95	44.05	46.31	41.39
u1557cz37nrg	4.393641	51.206151	2019-04-09 09:00:00+00:00	35.98	35.94	41.28	30.52
u1557chrpgbh	4.389714	51.203005	2019-04-04 07:30:00+00:00	27.62	27.62	27.62	27.62
u1557ck4u87y	4.389237	51.203630	2019-04-02 07:30:00+00:00	32.06	32.06	32.06	32.06
u1557ck4u87y	4.389237	51.203630	2019-04-03 08:30:00+00:00	36.04	36.04	36.04	36.04
u1557ck4u87y	4.389237	51.203630	2019-04-03 11:30:00+00:00	44.73	44.73	44.73	44.73
u1557ckhw8py	4.389328	51.203929	2019-04-03 08:30:00+00:00	35.65	35.65	35.65	35.65
u1557ckhw8py	4.389328	51.203929	2019-04-03 11:30:00+00:00	13.37	13.37	13.37	13.37
u1557ckhw8py	4.389328	51.203929	2019-04-08 07:30:00+00:00	70.03	70.03	70.03	70.03
u1557ckjp3h5	4.389355	51.204020	2019-04-01 12:00:00+00:00	48.68	48.68	50.75	46.60
u1557ckjp3h5	4.389355	51.204020	2019-04-02 07:30:00+00:00	29.76	29.76	29.76	29.76
u1557ckjp3h5	4.389355	51.204020	2019-04-08 07:30:00+00:00	54.13	54.13	54.13	54.13
u1557bvsh7u0	4.391286	51.201116	2019-04-09 11:30:00+00:00	51.36	51.36	51.36	51.36
u1557bvrbkey	4.390771	51.201765	2019-04-01 12:00:00+00:00	54.24	54.24	54.98	53.51
