node_id	longitude	latitude	time	median	mean	max	min
u155k5zfjd5z	4.405416	51.217244	2019-04-01 11:00:00+00:00	48.54	48.54	49.44	47.65
u155k5zfjd5z	4.405416	51.217244	2019-04-02 10:00:00+00:00	69.22	69.22	69.22	69.22
u155k5zfjd5z	4.405416	51.217244	2019-04-09 12:00:00+00:00	45.37	45.37	45.37	45.37
u155khf88n2n	4.397964	51.222502	2019-04-09 05:00:00+00:00	34.83	34.83	34.83	34.83
u155khf88n2n	4.397964	51.222502	2019-04-09 10:00:00+00:00	59.48	59.48	59.48	59.48
u155keb1bc2p	4.416536	51.217197	2019-04-01 09:00:00+00:00	31.76	31.76	31.76	31.76
u155keb1bc2p	4.416536	51.217197	2019-04-01 12:00:00+00:00	59.37	60.69	79.52	51.98
u155keb1bc2p	4.416536	51.217197	2019-04-02 06:00:00+00:00	58.60	58.60	58.60	58.60
u155keb1bc2p	4.416536	51.217197	2019-04-02 07:00:00+00:00	63.88	64.19	69.02	61.09
u155keb1bc2p	4.416536	51.217197	2019-04-02 08:00:00+00:00	76.33	76.33	76.33	76.33
u155keb1bc2p	4.416536	51.217197	2019-04-03 12:00:00+00:00	69.69	69.10	77.00	56.81
u155keb1bc2p	4.416536	51.217197	2019-04-04 07:00:00+00:00	57.03	56.53	58.77	53.79
u155keb1bc2p	4.416536	51.217197	2019-04-04 08:00:00+00:00	40.36	40.36	40.36	40.36
u155keb1bc2p	4.416536	51.217197	2019-04-04 10:00:00+00:00	60.07	60.02	62.39	57.60
u155keb1bc2p	4.416536	51.217197	2019-04-05 07:00:00+00:00	61.38	64.07	73.77	57.05
u155keb1bc2p	4.416536	51.217197	2019-04-05 09:00:00+00:00	58.86	60.23	67.57	52.50
u155keb1bc2p	4.416536	51.217197	2019-04-06 07:00:00+00:00	39.14	39.14	39.14	39.14
u155keb1bc2p	4.416536	51.217197	2019-04-06 10:00:00+00:00	80.32	80.32	80.32	80.32
u155keb1bc2p	4.416536	51.217197	2019-04-08 07:00:00+00:00	63.08	62.14	65.46	57.96
u155keb1bc2p	4.416536	51.217197	2019-04-08 09:00:00+00:00	45.82	45.32	48.57	42.11
u155keb1bc2p	4.416536	51.217197	2019-04-09 09:00:00+00:00	45.32	45.32	45.32	45.32
