node_id	longitude	latitude
u15578ypktxv	4.381002	51.201684
u15578yvuub1	4.382032	51.201422
u15578zkkqrv	4.382708	51.201173
u1557bb8847g	4.384237	51.200507
u1557chu3ch1	4.390149	51.202517
u1557cebw8xu	4.388984	51.204618
u1557c6v2ybj	4.387354	51.204094
u1557c65ehxu	4.386431	51.203781
u1557c64r77c	4.386608	51.203559
u1557c6e99s0	4.387048	51.203764
u1557ckp9b8n	4.389113	51.204447
u1557ckntjgb	4.389258	51.204302
u1557ctgk7kp	4.391629	51.205105
u1557cwmr87b	4.392455	51.205431
u1555xxsj02j	4.383073	51.194231
u1555zwxh27c	4.392659	51.194746
u1555zy3pseg	4.392455	51.195112
u1555zv06uzc	4.390540	51.194984
u1555zv2p6gb	4.391071	51.194931
u1555zss4w8j	4.389832	51.194265
u1555zthuerg	4.390615	51.194376
u1555xy6t7s5	4.381372	51.195364
u1555xym6ggy	4.381265	51.195838
u1555zt52meg	4.390427	51.194131
u1555zku3bhp	4.390149	51.192900
u1557bq9405y	4.392563	51.197835
u1557bq12uxz	4.391828	51.197902
u1557bv8ey5g	4.391264	51.200528
u1557bv85524	4.391227	51.200427
u1557bnptszy	4.392031	51.197603
u1557bpg7yhp	4.394354	51.196880
u155k004rzxb	4.394875	51.196716
u1557cy903py	4.392493	51.206080
u1555zsw24gz	4.389730	51.194631
u1557cfjubpv	4.386506	51.206890
u1557ccuwbpf	4.386249	51.206675
u1555xxhz6xz	4.382493	51.194373
u1555xxnd9k0	4.382284	51.194665
u1557cu8heh5	4.389923	51.205919
u1557cu8rmhh	4.390041	51.205973
u1555zv9ztsj	4.391425	51.195247
u1555zvf1gbn	4.391516	51.195280
u1557cdnqk85	4.386560	51.205626
u1557c9kx3xy	4.385583	51.205310
u1557bk9dnpu	4.389821	51.197953
u1555zuvbhk0	4.390073	51.195926
u1557c9wpq7f	4.385921	51.205593
u1557c9cvgbh	4.386195	51.204850
u1557cde27rz	4.387000	51.205105
u1557cz1m3zy	4.393394	51.206127
u1555xxrn8rc	4.382805	51.194746
u1557bkbkm7u	4.390256	51.197734
u1557bvgf6bp	4.391538	51.201069
u1557bvgbz2h	4.391474	51.201092
u1557cxr7ph4	4.393635	51.205811
u1557cxrz425	4.393802	51.205872
u155k1b1yx7b	4.394816	51.206241
u1555z8x782n	4.384382	51.194789
u1555z8tmeh1	4.384473	51.194460
u1557c3bge01	4.386098	51.203301
u1557c334g0j	4.385380	51.203344
u1557bmjw1ef	4.390674	51.198615
u1557bmjvdgz	4.390653	51.198665
u1557bmq9pgc	4.390803	51.198820
u1557bkt67k1	4.389827	51.198581
u1555zwzyz00	4.393104	51.194910
u1555zey86s0	4.388711	51.194672
u1555zevs3uj	4.388883	51.194497
u1555zs590gb	4.389086	51.194147
u1555zebrj05	4.388995	51.193613
u1555z7t6fey	4.388475	51.193085
u1557bscdfpb	4.390197	51.199304
u1555zvkdfzu	4.390883	51.195704
u155hp8jpyxu	4.394875	51.194436
u1557bs8v984	4.389961	51.199173
u1555zfuebru	4.387493	51.195690
u1555zfe4zh1	4.387102	51.195468
u1555zf4p0hj	4.386597	51.195260
u1555zxqyr01	4.393770	51.194739
u1555zxtxghj	4.394183	51.194504
u1557bm7f6rv	4.390862	51.198319
u1557bkffvs5	4.390191	51.198164
u1555z3thk7y	4.385793	51.193051
u1555z3qxbrf	4.385605	51.193287
u1555z3r4yzu	4.385390	51.193408
u1557bvcfsrf	4.391559	51.200733
u1555zutfp2h	4.389811	51.195942
u1555zgvz8s0	4.389022	51.195906
u1555xxutcun	4.383454	51.194326
u1555xx4sf5c	4.382381	51.193983
u1555xx0svgu	4.382381	51.193660
u1555xx21hun	4.382563	51.193569
u1557cwn3zez	4.391865	51.205643
u1557cq55ms5	4.391930	51.203701
u1557cjyzyuh	4.391779	51.202978
u1557cjcf8pz	4.391559	51.202084
u1555xrvzyb0	4.383534	51.193193
u1555xrz62u0	4.383304	51.193418
u1557cf5x0zb	4.386603	51.206507
u1557ccw1j24	4.385648	51.206961
u1557chkxpry	4.389693	51.202595
u1557chjqr7b	4.389312	51.202722
u1557bvzse7c	4.391640	51.201714
u1557cqrf9ry	4.392246	51.204494
u1557cwkqys4	4.392423	51.205294
u155k1b58vzb	4.394574	51.206534
u1555zgt1pef	4.388400	51.195815
u1555zun5srv	4.389199	51.195969
u1555zuq785v	4.389537	51.195990
u1557bhmw0h0	4.389644	51.197233
u1557bk8hqeb	4.389912	51.197697
u1557bkr4h24	4.389467	51.198887
u1557bsux3bh	4.390379	51.199818
u155hp85rurg	4.394875	51.194124
u1555zxgs205	4.394370	51.194144
u15579znzx5b	4.382499	51.207098
u15579y4z6py	4.381120	51.206386
u1557ck4u87y	4.389237	51.203630
u1557ckhw8py	4.389328	51.203929
u1555zg6jn2n	4.388223	51.195294
u1555xqhr25z	4.381115	51.192900
u1555xws5duj	4.381641	51.194245
u1555xrs605z	4.382949	51.192900
u1557cjkzmez	4.391071	51.202628
u1555zrkr0pz	4.393812	51.192900
u1555xrn1wuj	4.382241	51.193236
u1555xqxhuup	4.381694	51.193398
u1555zu1gbh1	4.389204	51.195216
u1555zu1w9zb	4.389328	51.195183
u1557bsyv9bn	4.390304	51.200205
u1557bv40tpg	4.390444	51.200780
u1557bv53hs4	4.390460	51.200991
u1557chd0mkh	4.389741	51.202154
u1557buwvdu5	4.389966	51.201583
u1557bu9wj2n	4.389982	51.200696
u1557bsxuh7v	4.389902	51.200390
u1557bst8f2p	4.389757	51.199993
u1557chfd55v	4.390159	51.202228
u1555z2w51rb	4.384371	51.193206
u1555zexdn5z	4.388443	51.194863
u1555zx4wrxv	4.393437	51.194013
u1555zwf628h	4.392911	51.193932
u155hp2j3psp	4.394580	51.193112
u1555z3h68pz	4.385036	51.192900
u1555xxfb8zv	4.383234	51.194020
u1557bvrbkey	4.390771	51.201765
u1555z9q1fhp	4.385342	51.194584
u1555z9wy2pu	4.385884	51.194702
u1557c7fp8sh	4.389022	51.203502
u1555z917qrf	4.385068	51.193791
u1555xyq80bn	4.381142	51.196037
u1555xyu8d20	4.381850	51.195700
u1555xygmfzc	4.382086	51.195489
u1557ccbwsh1	4.386232	51.206010
u1557cccpr7y	4.386265	51.206114
u1557bhnk18p	4.389210	51.197371
u1557bh0b9eu	4.389065	51.196427
u1555zv1dqhh	4.390513	51.195206
u1557cbwtqgu	4.384462	51.207055
u1557cbyw7ez	4.384848	51.207038
u1557cthjxxy	4.390658	51.205257
