node_id	longitude	latitude	time	median	mean	max	min
u155k5c681rb	4.396259	51.217324	2019-04-01 09:00:00+00:00	16.13	16.07	18.22	13.13
u155k5c681rb	4.396259	51.217324	2019-04-01 10:00:00+00:00	17.49	17.15	20.11	14.95
u155k5c681rb	4.396259	51.217324	2019-04-01 11:00:00+00:00	18.68	18.78	21.70	16.65
u155k5c681rb	4.396259	51.217324	2019-04-01 12:00:00+00:00	19.93	19.99	21.99	17.86
u155k5c681rb	4.396259	51.217324	2019-04-01 13:00:00+00:00	20.52	20.40	22.27	18.26
u155k5c681rb	4.396259	51.217324	2019-04-01 14:00:00+00:00	20.10	20.18	22.43	18.55
u155k5c681rb	4.396259	51.217324	2019-04-01 15:00:00+00:00	19.69	19.77	21.75	17.94
u155k5c681rb	4.396259	51.217324	2019-04-01 16:00:00+00:00	19.34	19.41	21.04	17.83
u155k5c681rb	4.396259	51.217324	2019-04-01 17:00:00+00:00	19.46	19.84	22.75	16.86
u155k5c681rb	4.396259	51.217324	2019-04-01 18:00:00+00:00	20.23	20.07	21.77	17.34
u155k5c681rb	4.396259	51.217324	2019-04-01 19:00:00+00:00	19.70	19.79	21.67	17.53
u155k5c681rb	4.396259	51.217324	2019-04-01 20:00:00+00:00	19.19	19.16	21.00	17.69
u155k5c681rb	4.396259	51.217324	2019-04-01 21:00:00+00:00	19.26	19.30	20.89	17.51
u155k5c681rb	4.396259	51.217324	2019-04-01 22:00:00+00:00	19.15	19.14	20.77	17.36
u155k5c681rb	4.396259	51.217324	2019-04-01 23:00:00+00:00	18.91	18.98	20.73	16.53
u155k5c681rb	4.396259	51.217324	2019-04-02 00:00:00+00:00	19.35	19.43	20.95	17.86
u155k5c681rb	4.396259	51.217324	2019-04-02 01:00:00+00:00	20.25	20.09	20.59	18.01
u155k5c681rb	4.396259	51.217324	2019-04-02 02:00:00+00:00	19.87	19.86	20.14	19.58
u155k5c681rb	4.396259	51.217324	2019-04-02 03:00:00+00:00	19.34	19.35	19.57	19.20
u155k5c681rb	4.396259	51.217324	2019-04-02 04:00:00+00:00	19.15	19.14	19.20	19.03
u155k5c681rb	4.396259	51.217324	2019-04-02 05:00:00+00:00	18.92	18.93	19.02	18.89
u155k5c681rb	4.396259	51.217324	2019-04-02 06:00:00+00:00	19.15	19.16	19.46	18.95
u155k5c681rb	4.396259	51.217324	2019-04-02 07:00:00+00:00	20.40	20.46	21.54	19.47
u155k5c681rb	4.396259	51.217324	2019-04-02 08:00:00+00:00	21.81	21.79	21.98	21.07
u155k5c681rb	4.396259	51.217324	2019-04-02 09:00:00+00:00	22.03	21.88	22.10	20.93
u155k5c681rb	4.396259	51.217324	2019-04-02 10:00:00+00:00	20.23	20.29	21.39	18.02
u155k5c681rb	4.396259	51.217324	2019-04-02 11:00:00+00:00	18.83	18.72	19.91	14.71
u155k5c681rb	4.396259	51.217324	2019-04-02 12:00:00+00:00	20.57	20.60	21.89	18.51
u155k5c681rb	4.396259	51.217324	2019-04-02 13:00:00+00:00	23.34	22.74	23.76	19.61
u155k5c681rb	4.396259	51.217324	2019-04-02 14:00:00+00:00	23.10	22.33	23.51	11.38
u155k5c681rb	4.396259	51.217324	2019-04-02 15:00:00+00:00	17.22	17.70	21.72	14.87
u155k5c681rb	4.396259	51.217324	2019-04-02 16:00:00+00:00	16.91	16.91	17.05	16.79
u155k5c681rb	4.396259	51.217324	2019-04-02 17:00:00+00:00	17.13	17.12	17.16	17.05
u155k5c681rb	4.396259	51.217324	2019-04-02 18:00:00+00:00	17.04	16.19	17.10	2.94
u155k5c681rb	4.396259	51.217324	2019-04-02 19:00:00+00:00	0.44	0.90	2.94	0.02
u155k5c681rb	4.396259	51.217324	2019-04-02 20:00:00+00:00	3.12	3.18	7.11	0.07
u155k5c681rb	4.396259	51.217324	2019-04-02 21:00:00+00:00	0.15	0.15	0.15	0.15
u155k5c681rb	4.396259	51.217324	2019-04-02 22:00:00+00:00	0.69	0.61	0.96	0.11
u155k5c681rb	4.396259	51.217324	2019-04-02 23:00:00+00:00	1.35	2.28	6.35	0.01
u155k5c681rb	4.396259	51.217324	2019-04-03 00:00:00+00:00	1.04	1.03	2.54	0.04
u155k5c681rb	4.396259	51.217324	2019-04-03 01:00:00+00:00	2.56	2.71	6.10	0.41
u155k5c681rb	4.396259	51.217324	2019-04-03 02:00:00+00:00	4.48	4.69	7.88	2.03
u155k5c681rb	4.396259	51.217324	2019-04-03 03:00:00+00:00	5.96	6.02	9.70	3.03
