node_id	longitude	latitude	time	median	mean	max	min
u155ktfx2us1	4.419975	51.229144	2019-04-01 11:00:00+00:00	49.65	49.65	49.65	49.65
u155kvgpeyef	4.431776	51.229197	2019-04-03 09:00:00+00:00	55.56	55.56	55.56	55.56
u155kvgpeyef	4.431776	51.229197	2019-04-05 07:00:00+00:00	63.21	63.21	63.21	63.21
u155kvgpeyef	4.431776	51.229197	2019-04-08 09:00:00+00:00	45.43	45.43	45.43	45.43
u155kvgpeyef	4.431776	51.229197	2019-04-09 09:00:00+00:00	42.49	42.49	42.49	42.49
u155kvgvcczf	4.432726	51.228872	2019-04-03 09:00:00+00:00	53.22	53.22	53.22	53.22
u155kvupd77y	4.433085	51.229181	2019-04-02 07:00:00+00:00	75.54	75.54	75.54	75.54
u155kvupd77y	4.433085	51.229181	2019-04-03 09:00:00+00:00	46.74	46.74	46.74	46.74
u155kvuqmdpg	4.433573	51.228959	2019-04-01 10:00:00+00:00	32.95	32.95	32.95	32.95
u155kvuqmdpg	4.433573	51.228959	2019-04-02 09:00:00+00:00	68.10	68.10	68.10	68.10
u155kvuqmdpg	4.433573	51.228959	2019-04-03 07:00:00+00:00	52.43	52.43	52.43	52.43
u155kvuqmdpg	4.433573	51.228959	2019-04-05 07:00:00+00:00	65.54	65.54	65.54	65.54
u155kvuqmdpg	4.433573	51.228959	2019-04-08 07:00:00+00:00	51.55	51.55	51.55	51.55
u155kvytqzb1	4.436706	51.228818	2019-04-01 10:00:00+00:00	39.29	39.29	39.29	39.29
u155kvytqzb1	4.436706	51.228818	2019-04-02 10:00:00+00:00	72.13	72.13	72.17	72.09
u155kvytqzb1	4.436706	51.228818	2019-04-03 09:00:00+00:00	38.25	38.97	42.43	36.20
u155kvytqzb1	4.436706	51.228818	2019-04-05 09:00:00+00:00	29.86	34.75	52.16	24.45
u155kvytqzb1	4.436706	51.228818	2019-04-08 09:00:00+00:00	43.22	43.22	43.73	42.71
u155kvytqzb1	4.436706	51.228818	2019-04-09 09:00:00+00:00	38.41	40.07	43.75	38.05
u155kvzpjbeu	4.437355	51.229080	2019-04-03 07:00:00+00:00	70.07	70.07	70.07	70.07
u155kvzpjbeu	4.437355	51.229080	2019-04-03 09:00:00+00:00	51.45	51.45	51.45	51.45
u155kvzpjbeu	4.437355	51.229080	2019-04-04 07:00:00+00:00	60.28	60.28	60.28	60.28
u155kvzpjbeu	4.437355	51.229080	2019-04-05 07:00:00+00:00	68.91	69.01	75.28	62.79
u155kvzpjbeu	4.437355	51.229080	2019-04-08 07:00:00+00:00	59.64	60.48	66.97	55.69
u155kvzpjbeu	4.437355	51.229080	2019-04-09 07:00:00+00:00	48.61	48.29	50.80	45.13
u155kvzpjbeu	4.437355	51.229080	2019-04-09 09:00:00+00:00	40.36	40.36	43.04	37.67
u155kvzxpczv	4.438133	51.229087	2019-04-02 07:00:00+00:00	60.81	60.81	60.81	60.81
u155kvzxpczv	4.438133	51.229087	2019-04-03 07:00:00+00:00	57.37	57.37	57.37	57.37
u155kvzxpczv	4.438133	51.229087	2019-04-04 07:00:00+00:00	50.49	50.49	50.49	50.49
u155kvzxpczv	4.438133	51.229087	2019-04-05 07:00:00+00:00	50.96	54.44	73.94	49.30
u155kvzxpczv	4.438133	51.229087	2019-04-08 07:00:00+00:00	68.10	68.10	70.03	66.17
u155kvzxpczv	4.438133	51.229087	2019-04-09 07:00:00+00:00	44.06	45.93	57.01	41.85
u155mjbm2pb1	4.438820	51.228818	2019-04-02 07:00:00+00:00	63.27	63.27	63.27	63.27
u155mjbm2pb1	4.438820	51.228818	2019-04-08 07:00:00+00:00	59.38	59.38	59.38	59.38
u155mjby1ggg	4.439587	51.228925	2019-04-02 07:00:00+00:00	66.69	67.33	72.28	63.02
u155mjby1ggg	4.439587	51.228925	2019-04-09 07:00:00+00:00	49.02	49.02	52.38	45.66
u155mjfm6v7c	4.441690	51.228804	2019-04-03 08:00:00+00:00	48.08	48.08	48.08	48.08
u155knj2cfgu	4.401821	51.229392	2019-04-03 10:00:00+00:00	29.46	29.46	29.46	29.46
u155knj2cfgu	4.401821	51.229392	2019-04-04 06:00:00+00:00	36.34	36.34	36.34	36.34
u155knj2cfgu	4.401821	51.229392	2019-04-09 09:00:00+00:00	54.72	54.72	54.72	54.72
u155knjd6s25	4.402192	51.229658	2019-04-01 11:00:00+00:00	37.09	37.09	37.09	37.09
u155knjd6s25	4.402192	51.229658	2019-04-02 10:00:00+00:00	30.17	30.17	30.17	30.17
u155knjd6s25	4.402192	51.229658	2019-04-08 14:00:00+00:00	67.45	67.45	67.45	67.45
u155kqjd2cu5	4.413108	51.229644	2019-04-01 10:00:00+00:00	65.12	65.12	65.12	65.12
u155kqjd2cu5	4.413108	51.229644	2019-04-04 06:00:00+00:00	16.40	16.40	16.40	16.40
u155kqj8se7u	4.413269	51.229352	2019-04-02 06:00:00+00:00	43.00	43.00	43.00	43.00
u155kqj8se7u	4.413269	51.229352	2019-04-04 06:00:00+00:00	29.78	29.78	29.78	29.78
u155kqj8se7u	4.413269	51.229352	2019-04-05 06:00:00+00:00	38.88	38.88	38.88	38.88
u155kqp4s1bp	4.415302	51.229688	2019-04-01 10:00:00+00:00	72.57	72.57	72.57	72.57
u155ky40nuup	4.430532	51.229275	2019-04-05 07:00:00+00:00	51.15	51.74	53.33	50.73
u155ky40nuup	4.430532	51.229275	2019-04-09 09:00:00+00:00	43.52	43.66	45.83	41.63
u155ky53vuxy	4.432211	51.229574	2019-04-01 10:00:00+00:00	27.26	27.26	27.26	27.26
u155ky53vuxy	4.432211	51.229574	2019-04-02 07:00:00+00:00	69.15	69.15	69.15	69.15
u155ky53vuxy	4.432211	51.229574	2019-04-03 07:00:00+00:00	63.57	63.57	63.57	63.57
u155ky53vuxy	4.432211	51.229574	2019-04-04 07:00:00+00:00	49.61	49.61	49.61	49.61
u155kyp87urz	4.437962	51.229315	2019-04-02 07:00:00+00:00	78.35	78.35	78.35	78.35
u155kyp87urz	4.437962	51.229315	2019-04-03 07:00:00+00:00	57.28	57.28	57.28	57.28
u155kyp87urz	4.437962	51.229315	2019-04-09 09:00:00+00:00	61.14	60.57	67.38	51.33
u155kypcvtun	4.438375	51.229580	2019-04-04 07:00:00+00:00	45.15	44.57	47.61	40.39
u155kypcvtun	4.438375	51.229580	2019-04-08 07:00:00+00:00	71.76	71.76	71.76	71.76
u155mn1296b0	4.440247	51.229349	2019-04-04 07:00:00+00:00	55.78	53.79	58.30	45.29
u155mn1296b0	4.440247	51.229349	2019-04-09 07:00:00+00:00	50.28	50.28	54.34	46.21
u155mn507nbp	4.442725	51.229328	2019-04-01 09:00:00+00:00	81.86	81.86	81.86	81.86
u155mn595m81	4.443423	51.229449	2019-04-01 09:00:00+00:00	76.43	76.43	76.43	76.43
u1557y1uy6xu	4.386227	51.230078	2019-04-08 11:00:00+00:00	69.72	69.72	69.72	69.72
u1557y1uy6xu	4.386227	51.230078	2019-04-09 11:00:00+00:00	46.58	46.58	46.58	46.58
