node_id	longitude	latitude	time	median	mean	max	min
u155kd5t6dxu	4.421428	51.208191	2019-04-11 14:00:00+00:00	30.79	30.51	32.91	24.70
u155kd5t6dxu	4.421428	51.208191	2019-04-11 15:00:00+00:00	30.37	29.90	32.69	25.40
u155kd5t6dxu	4.421428	51.208191	2019-04-11 16:00:00+00:00	23.50	24.20	29.52	16.81
u155kd5t6dxu	4.421428	51.208191	2019-04-11 17:00:00+00:00	21.83	21.89	25.19	19.48
u155kd5t6dxu	4.421428	51.208191	2019-04-11 18:00:00+00:00	19.46	19.37	21.33	16.10
u155kd5t6dxu	4.421428	51.208191	2019-04-11 19:00:00+00:00	17.51	17.48	19.87	15.17
u155kd5t6dxu	4.421428	51.208191	2019-04-11 20:00:00+00:00	15.80	15.57	17.76	12.66
u155kd5t6dxu	4.421428	51.208191	2019-04-11 21:00:00+00:00	16.07	16.25	16.76	15.91
u155kd5t6dxu	4.421428	51.208191	2019-04-11 22:00:00+00:00	15.36	15.44	17.81	12.64
u155kd5t6dxu	4.421428	51.208191	2019-04-11 23:00:00+00:00	14.55	14.57	16.27	13.22
u155kd5z415u	4.421745	51.208483	2019-04-11 13:00:00+00:00	29.99	29.97	31.61	26.99
u155kd5z415u	4.421745	51.208483	2019-04-11 14:00:00+00:00	29.90	29.90	29.90	29.90
u155kd5z415u	4.421745	51.208483	2019-04-11 17:00:00+00:00	21.22	21.13	22.19	20.15
u155kd5z415u	4.421745	51.208483	2019-04-11 18:00:00+00:00	17.63	17.60	18.33	16.80
u155kd5z415u	4.421745	51.208483	2019-04-11 19:00:00+00:00	17.43	17.31	18.67	15.77
u155kd5z415u	4.421745	51.208483	2019-04-11 20:00:00+00:00	16.65	16.72	17.89	14.69
u155kd5z415u	4.421745	51.208483	2019-04-11 21:00:00+00:00	16.50	16.84	19.31	14.41
u155kd5z415u	4.421745	51.208483	2019-04-11 22:00:00+00:00	15.92	15.78	17.24	13.78
u155kd5z415u	4.421745	51.208483	2019-04-11 23:00:00+00:00	15.30	14.39	16.24	12.52
u155kdhpq7u1	4.422271	51.208540	2019-04-11 21:00:00+00:00	18.25	17.89	18.28	17.14
u155kf6kp2zu	4.430902	51.209340	2019-04-11 15:00:00+00:00	23.92	23.92	26.24	21.59
u155kf768jsj	4.431959	51.209108	2019-04-11 13:00:00+00:00	26.06	25.77	29.91	22.18
u155kf768jsj	4.431959	51.209108	2019-04-11 14:00:00+00:00	26.05	25.75	35.31	20.48
u155kf768jsj	4.431959	51.209108	2019-04-11 15:00:00+00:00	25.45	25.41	29.48	8.30
u155kf768jsj	4.431959	51.209108	2019-04-11 16:00:00+00:00	24.50	24.06	28.92	9.39
u155kf768jsj	4.431959	51.209108	2019-04-11 17:00:00+00:00	22.90	22.79	28.45	13.47
u155kf768jsj	4.431959	51.209108	2019-04-11 18:00:00+00:00	19.97	19.91	23.83	10.87
u155kf768jsj	4.431959	51.209108	2019-04-11 19:00:00+00:00	17.73	17.52	21.90	7.03
u155kf768jsj	4.431959	51.209108	2019-04-11 20:00:00+00:00	17.03	16.89	25.47	13.39
u155kf768jsj	4.431959	51.209108	2019-04-11 21:00:00+00:00	17.34	17.41	22.04	13.24
u155kf768jsj	4.431959	51.209108	2019-04-11 22:00:00+00:00	16.74	16.58	28.03	10.53
u155kf768jsj	4.431959	51.209108	2019-04-11 23:00:00+00:00	16.53	16.38	20.82	5.86
u155kd5hpqk1	4.420940	51.207996	2019-04-13 17:00:00+00:00	12.28	12.28	12.28	12.28
u155kd5hpqk1	4.420940	51.207996	2019-04-14 08:00:00+00:00	32.73	32.73	32.73	32.73
u155kd5hpqk1	4.420940	51.207996	2019-04-18 00:00:00+00:00	29.88	29.75	31.21	28.38
u155kd5hpqk1	4.420940	51.207996	2019-04-18 08:00:00+00:00	26.35	26.43	26.74	26.22
u155kd5hpqk1	4.420940	51.207996	2019-04-19 00:00:00+00:00	27.20	27.08	30.00	24.54
u155kd5hpqk1	4.420940	51.207996	2019-04-19 07:00:00+00:00	24.90	24.42	24.96	23.39
u155kd5t6dxu	4.421428	51.208191	2019-04-12 00:00:00+00:00	14.19	14.19	16.09	12.84
u155kd5t6dxu	4.421428	51.208191	2019-04-12 01:00:00+00:00	12.86	12.92	14.83	10.27
u155kd5t6dxu	4.421428	51.208191	2019-04-12 02:00:00+00:00	11.48	11.48	12.72	9.65
u155kd5t6dxu	4.421428	51.208191	2019-04-12 03:00:00+00:00	11.62	11.62	13.21	9.82
u155kd5t6dxu	4.421428	51.208191	2019-04-12 04:00:00+00:00	12.51	12.52	15.48	9.93
u155kd5t6dxu	4.421428	51.208191	2019-04-12 05:00:00+00:00	11.98	12.10	14.06	9.11
u155kd5t6dxu	4.421428	51.208191	2019-04-12 06:00:00+00:00	13.45	12.96	14.82	10.21
u155kd5t6dxu	4.421428	51.208191	2019-04-12 07:00:00+00:00	13.45	13.67	17.50	10.99
u155kd5t6dxu	4.421428	51.208191	2019-04-12 08:00:00+00:00	14.14	14.08	18.35	12.43
u155kd5t6dxu	4.421428	51.208191	2019-04-12 09:00:00+00:00	16.04	15.79	17.41	12.52
u155kd5t6dxu	4.421428	51.208191	2019-04-12 10:00:00+00:00	16.40	16.30	17.81	12.49
u155kd5t6dxu	4.421428	51.208191	2019-04-12 11:00:00+00:00	17.35	17.24	19.99	12.57
u155kd5t6dxu	4.421428	51.208191	2019-04-12 13:00:00+00:00	19.79	19.56	24.43	9.75
u155kd5t6dxu	4.421428	51.208191	2019-04-12 14:00:00+00:00	20.84	20.28	23.82	12.99
u155kd5t6dxu	4.421428	51.208191	2019-04-12 15:00:00+00:00	18.96	18.97	21.48	16.75
u155kd5t6dxu	4.421428	51.208191	2019-04-12 16:00:00+00:00	18.78	18.50	20.71	4.32
u155kd5t6dxu	4.421428	51.208191	2019-04-12 17:00:00+00:00	18.52	18.38	20.07	16.66
u155kd5t6dxu	4.421428	51.208191	2019-04-12 18:00:00+00:00	16.26	16.18	18.36	14.78
u155kd5t6dxu	4.421428	51.208191	2019-04-12 19:00:00+00:00	14.94	14.92	17.14	12.74
u155kd5t6dxu	4.421428	51.208191	2019-04-12 20:00:00+00:00	14.05	13.89	14.88	12.69
u155kd5t6dxu	4.421428	51.208191	2019-04-12 21:00:00+00:00	12.06	11.99	12.07	11.85
u155kd5t6dxu	4.421428	51.208191	2019-04-12 22:00:00+00:00	11.61	11.41	13.10	9.09
u155kd5t6dxu	4.421428	51.208191	2019-04-12 23:00:00+00:00	10.47	10.41	12.42	8.33
